time,u,v,w,p,q,r,phi,theta,psi,x,y,z,fx,fy,fz,mx,my,mz
2.93,10,46.5,0,0,0,0,0,0,0,29.4,21.6225,0,0,50,0,0,0,0
2.94,10,47,0,0,0,0,0,0,0,29.5,22.09,0,0,50,0,0,0,0
2.95,10,47.5,0,0,0,0,0,0,0,29.6,22.5625,0,0,50,0,0,0,0
2.96,10,48,0,0,0,0,0,0,0,29.7,23.04,0,0,50,0,0,0,0
2.97,10,48.5,0,0,0,0,0,0,0,29.8,23.5225,0,0,50,0,0,0,0
2.98,10,49,0,0,0,0,0,0,0,29.9,24.01,0,0,50,0,0,0,0
2.99,10,49.5,0,0,0,0,0,0,0,30,24.5025,0,0,50,0,0,0,0
3,10,50,0,0,0,0,0,0,0,30.1,25,0,0,50,0,0,0,0
3.01,10,50.5,0,0,0,0,0,0,0,30.2,25.5025,0,0,50,0,0,0,0
3.02,10,51,0,0,0,0,0,0,0,30.3,26.01,0,0,50,0,0,0,0
3.03,10,51.5,0,0,0,0,0,0,0,30.4,26.5225,0,0,50,0,0,0,0
3.04,10,52,0,0,0,0,0,0,0,30.5,27.04,0,0,50,0,0,0,0
3.05,10,52.5,0,0,0,0,0,0,0,30.6,27.5625,0,0,50,0,0,0,0
3.06,10,53,0,0,0,0,0,0,0,30.7,28.09,0,0,50,0,0,0,0
3.07,10,53.5,0,0,0,0,0,0,0,30.8,28.6225,0,0,50,0,0,0,0
3.08,10,54,0,0,0,0,0,0,0,30.9,29.16,0,0,50,0,0,0,0
3.09,10,54.5,0,0,0,0,0,0,0,31,29.7025,0,0,50,0,0,0,0
3.1,10,55,0,0,0,0,0,0,0,31.1,30.25,0,0,50,0,0,0,0
3.11,10,55.5,0,0,0,0,0,0,0,31.2,30.8025,0,0,50,0,0,0,0
3.12,10,56,0,0,0,0,0,0,0,31.3,31.36,0,0,50,0,0,0,0
3.13,10,56.5,0,0,0,0,0,0,0,31.4,31.9225,0,0,50,0,0,0,0
3.14,10,57,0,0,0,0,0,0,0,31.5,32.49,0,0,50,0,0,0,0
3.15,10,57.5,0,0,0,0,0,0,0,31.6,33.0625,0,0,50,0,0,0,0
3.16,10,58,0,0,0,0,0,0,0,31.7,33.64,0,0,50,0,0,0,0
